Fund,NPV,Market Value,Fund NAV
Fund A,11.85,11.85,10
Fund B,7.29,7.29,7.1
Fund C,2.25,2.25,2.19
Fund D,5.15,5.15,5.07
Fund E,2352.82,2319.32,2333.72
Fund F,40.08,40.07,39.83
Fund H,307.36,303.47,305.55
Fund I,80.42,80.42,80.03
Fund J,178.83,178.82,178.09
Fund K,29.14,29.13,29.03
Fund L,79.68,78.85,79.45
Fund M,472.47,472.46,471.19
Fund N,2.19,2.19,2.19
Fund O,2.18,2.18,2.18
Fund P,429.77,426.83,430.23
Fund Q,943.55,943.54,945.33
Fund R,4.67,4.67,4.7
Fund S,610.68,610.69,613.99
Fund T,909.71,909.7,915.04
Fund U,21.03,20.86,21.66
Fund V,21.92,21.84,47.23
